Word, Count
the, 81369
and, 61291
of, 42817
to, 21704
he, 16752
in, 16568
that, 15956
a, 14857
his, 12572
i, 12526
for, 10722
it, 10611
shall, 9886
they, 9487
was, 9137
unto, 8998
him, 8691
said, 8536
be, 8364
is, 8097
lord, 8068
with, 7980
them, 7720
not, 7717
all, 7030
you, 6715
harry, 6016
s, 5805
as, 5709
but, 5684
thou, 5474
my, 5075
have, 5032
me, 4914
which, 4899
from, 4826
had, 4823
their, 4785
thy, 4601
god, 4495
will, 4300
at, 4282
on, 4216
were, 4134
out, 4123
ye, 3985
this, 3870
up, 3853
thee, 3829
are, 3535
when, 3506
there, 3343
by, 3299
her, 3211
into, 3180
man, 2973
then, 2943
we, 2931
upon, 2896
one, 2877
1, 2836
2, 2731
3, 2577
israel, 2575
so, 2564
king, 2559
an, 2491
4, 2484
t, 2479
son, 2466
what, 2456
people, 2436
come, 2400
your, 2381
7, 2356
if, 2343
came, 2334
5, 2313
6, 2302
house, 2288
hath, 2264
no, 2250
she, 2230
9, 2217
8, 2195
now, 2188
before, 2186
10, 2125
11, 2111
do, 2025
12, 1972
go, 1946
13, 1908
who, 1886
day, 1886
down, 1872
14, 1868
also, 1848
children, 1842
against, 1840
let, 1801
15, 1796
hand, 1768
ron, 1749
land, 1747
over, 1743
men, 1718
us, 1699
even, 1695
16, 1693
made, 1671
went, 1671
shalt, 1616
18, 1603
or, 1591
potter, 1575
saying, 1557
fire, 1522
about, 1522
19, 1517
17, 1508
because, 1490
did, 1478
after, 1468
20, 1468
21, 1448
every, 1437
22, 1433
know, 1425
like, 1404
these, 1377
our, 1353
behold, 1326
things, 1324
say, 1313
23, 1281
been, 1273
father, 1273
therefore, 1264
great, 1263
saith, 1262
make, 1253
any, 1252
away, 1252
more, 1236
page, 1233
again, 1211
k, 1205
j, 1191
hermione, 1191
rowling, 1189
24, 1187
see, 1178
two, 1174
time, 1149
put, 1142
o, 1139
would, 1119
back, 1104
name, 1104
take, 1101
sons, 1099
may, 1097
25, 1075
earth, 1074
hast, 1070
off, 1069
david, 1064
good, 1053
26, 1043
way, 1038
how, 1033
give, 1015
eyes, 1013
through, 1011
very, 1005
jesus, 983
am, 977
27, 957
days, 947
took, 946
voice, 941
thine, 938
among, 934
should, 930
heard, 927
brought, 911
heart, 910
could, 909
thereof, 906
neither, 900
forth, 900
than, 893
28, 892
saw, 886
goblet, 880
pass, 875
city, 874
looked, 868
face, 866
place, 861
himself, 856
moses, 852
just, 850
right, 848
well, 834
set, 828
can, 825
judah, 816
jerusalem, 814
according, 810
whom, 808
word, 807
yet, 804
29, 801
other, 800
own, 795
though, 792
nor, 786
where, 765
thing, 764
head, 762
bring, 761
dumbledore, 758
called, 755
sent, 744
thus, 744
30, 736
offering, 735
31, 725
first, 723
many, 721
ever, 721
three, 720
hear, 720
around, 718
years, 717
done, 711
might, 696
mr, 693
eat, 691
mine, 684
got, 682
another, 671
hundred, 665
only, 661
32, 653
words, 648
hands, 644
old, 637
gave, 635
evil, 627
ve, 621
get, 621
those, 621
work, 620
look, 616
egypt, 614
d, 613
toward, 613
holy, 611
side, 607
told, 606
found, 601
33, 596
life, 590
left, 590
heaven, 590
turned, 588
spake, 587
much, 585
speak, 584
given, 580
without, 579
thousand, 578
under, 577
together, 577
christ, 571
why, 569
mouth, 569
weasley, 567
here, 564
long, 564
brethren, 564
year, 561
still, 558
don, 556
fathers, 551
some, 546
going, 545
34, 544
priest, 544
hagrid, 543
looking, 542
law, 541
high, 540
chamber, 539
re, 538
both, 537
gold, 535
water, 533
servant, 533
cast, 530
didn, 528
door, 521
think, 520
seven, 518
spirit, 517
blood, 515
stood, 510
keep, 510
art, 509
death, 505
answered, 504
tell, 501
end, 501
thought, 496
themselves, 496
professor, 485
until, 484
servants, 483
feet, 480
dead, 478
36, 476
night, 473
being, 471
ll, 469
soul, 468
five, 464
same, 463
35, 461
too, 460
four, 457
sin, 453
seen, 449
cities, 449
fear, 448
secrets, 448
light, 446
little, 445
commanded, 444
peace, 441
flesh, 441
sword, 441
wife, 435
never, 433
brother, 430
sea, 430
round, 428
knew, 426
sight, 425
taken, 424
37, 421
saul, 420
none, 417
nothing, 417
woman, 416
drink, 411
glory, 410
world, 409
mother, 407
priests, 400
arthur, 399
full, 397
silver, 396
while, 389
second, 388
wand, 387
38, 386
field, 380
rest, 379
altar, 378
something, 377
whole, 377
whose, 377
jacob, 377
m, 375
last, 375
burnt, 374
moody, 373
midst, 371
bread, 369
behind, 368
congregation, 364
room, 362
cut, 361
turn, 361
fell, 360
40, 359
young, 358
die, 357
wicked, 357
malfoy, 355
dark, 354
ten, 353
snape, 353
cause, 351
aaron, 350
gone, 349
oh, 348
twenty, 348
wherefore, 348
find, 347
power, 347
ground, 346
daughter, 345
kingdom, 342
love, 341
yea, 340
kings, 340
began, 339
dwell, 339
between, 336
nations, 336
want, 335
sat, 335
39, 335
such, 332
